Food Item,Price (INR),Restaurant,Rating
Sizzling Schezwan Chicken,319.0,Pizza Hut,4.4
Cheesy Spicy Delight,159.0,Pizza Hut,3.2
Classic Corn,109.0,Pizza Hut,4.3
"Spicy Sweet Corn, Onion, Green Chilli",139.0,Pizza Hut,3.5
Chatpata Tomato Onion & Chilli,149.0,Pizza Hut,3.2
Classic Onion Capsicum,99.0,Pizza Hut,4.2
Chilli Paneer Sizzle,179.0,Pizza Hut,4.2
Create Your Flavour Fun Combo - Box Of 4 - Non Veg,545.0,Pizza Hut,4.3
Create Your Flavour Fun Combo - Box Of 2 - Non Veg Pizza,289.0,Pizza Hut,4.0
Chicken Biryani with Chicken Lollipop,319.0,Chandini Food Magic,4.4
Egg Chicken Fried Rice with Boneless Chilli Chicken,299.0,Chandini Food Magic,3.5
2 Lachha Paratha with Paneer Butter Masala,310.0,Chandini Food Magic,4.6
2 Lachha Paratha with Chilli Mushroom,280.0,Chandini Food Magic,3.7
Home Style Chicken Curry with Jeera Rice,339.0,Chandini Food Magic,3.2
Home Style Chicken Curry with Plain Rice,269.0,Chandini Food Magic,3.3
Tangdi Chicken,320.0,Chandini Food Magic,3.3
Chicken Hariyali Kebab,270.0,Chandini Food Magic,4.7
Chicken Malai Kebab,220.0,Chandini Food Magic,5.0
Chicken Boti Kebab,240.0,Chandini Food Magic,4.8
Chicken Mirchi Kebab,220.0,Chandini Food Magic,3.0
Fried Chicken Wings,150.0,Chandini Food Magic,4.8
Tandoori Chicken,400.0,Chandini Food Magic,4.9
Kathi Kebab,240.0,Chandini Food Magic,3.7
Paneer Butter Masala,180.0,Chandini Food Magic,4.4
Mushroom Butter Masala,180.0,Chandini Food Magic,3.7
Paneer Hyderabadi,150.0,Chandini Food Magic,4.2
Paneer Kadai,180.0,Chandini Food Magic,4.2
Mushroom Kadai,180.0,Chandini Food Magic,3.2
Paneer Do Pyaza,180.0,Chandini Food Magic,4.5
Paneer Punjabi,180.0,Chandini Food Magic,3.9
Mushroom Punjabi,180.0,Chandini Food Magic,3.5
Mushroom Do Pyaza,220.0,Chandini Food Magic,4.7
Gobi Masala,150.0,Chandini Food Magic,4.6
Paneer Masala,180.0,Chandini Food Magic,3.9
Mix Veg,130.0,Chandini Food Magic,3.8
Mushroom Masala,180.0,Chandini Food Magic,4.1
Chicken Kassa,180.0,Chandini Food Magic,3.5
Boneless Chicken Kassa,180.0,Chandini Food Magic,3.1
Chicken Butter Masala,180.0,Chandini Food Magic,4.2
Boneless Chicken Butter Masala,180.0,Chandini Food Magic,3.6
Chicken Mughlai,180.0,Chandini Food Magic,4.6
Boneless Chicken Mughlai,180.0,Chandini Food Magic,4.1
Chicken Hyderabadi,200.0,Chandini Food Magic,4.1
Chicken Keema Masala,180.0,Chandini Food Magic,3.5
Chicken Tikka Masala,180.0,Chandini Food Magic,3.4
Chicken Kadai,180.0,Chandini Food Magic,3.3
Boneless Chicken Kadai,130.0,Chandini Food Magic,3.8
Chicken Do Pyaza,180.0,Chandini Food Magic,3.2
Boneless Chicken Do Pyaza,180.0,Chandini Food Magic,3.4
Chicken Punjabi,180.0,Chandini Food Magic,3.7
Boneless Chicken Punjabi,130.0,Chandini Food Magic,4.3
Mutton Curry,250.0,Chandini Food Magic,4.4
Mutton Kassa,250.0,Chandini Food Magic,3.3
Chicken Bharta,260.0,Chandini Food Magic,4.9
Chicken Tayi Di Masala,180.0,Chandini Food Magic,4.3
Chicken Tangdi Masala,170.0,Chandini Food Magic,3.9
Mutton Masala,280.0,Chandini Food Magic,4.1
Prawn Masala,270.0,Chandini Food Magic,3.6
Lachha Paratha,60.0,Chandini Food Magic,3.1
Plain Paratha,40.0,Chandini Food Magic,4.5
Plain Rice,80.0,Chandini Food Magic,4.5
Jeera Rice,120.0,Chandini Food Magic,3.5
Veg Biryani,170.0,Chandini Food Magic,3.9
Paneer Biryani,200.0,Chandini Food Magic,3.7
Chicken Biryani,220.0,Chandini Food Magic,3.7
Chicken Tangdi Biryani,280.0,Chandini Food Magic,3.7
Chicken Tandoor Leg Biryani,220.0,Chandini Food Magic,3.4
Chicken Tikka Biryani,240.0,Chandini Food Magic,5.0
Mutton Biryani,300.0,Chandini Food Magic,5.0
Prawns Biryani,240.0,Chandini Food Magic,3.6
Chicken Tandoori Biryani,250.0,Chandini Food Magic,3.0
Chilli Mushroom,170.0,Chandini Food Magic,4.5
Veg Manchurian,140.0,Chandini Food Magic,4.5
Paneer Manchurian,200.0,Chandini Food Magic,4.4
Paneer 65,180.0,Chandini Food Magic,3.6
Mushroom 65,170.0,Chandini Food Magic,4.9
Mushroom Manchurian,200.0,Chandini Food Magic,4.2
Chilli Chicken,180.0,Chandini Food Magic,3.7
Boneless Chilli Chicken,180.0,Chandini Food Magic,4.0
Boneless Garlic Chicken,200.0,Chandini Food Magic,4.9
Boneless Ginger Chicken,200.0,Chandini Food Magic,4.8
Jain Aloo Gobi Matar Bhaji,169.0,Garam masala,3.3
Jain Paneer Bhurji,259.0,Garam masala,4.5
Jain Malai Kofta,269.0,Garam masala,4.0
Jain Navratan Korma,269.0,Garam masala,4.7
Jain Paneer Butter Masala,249.0,Garam masala,4.3
Cream Tomato Soup,129.0,Garam masala,5.0
Veg Sweet Corn Soup,129.0,Garam masala,3.1
Non Veg Lemon Pepper Coriander Soup,139.0,Garam masala,3.2
Veg Hot and Sour Soup,129.0,Garam masala,4.7
Paneer Tikka Salad,229.0,Garam masala,4.3
Chicken Tikka Salad,259.0,Garam masala,4.4
Chicken Tikka,359.0,Garam masala,3.3
Tandoori Chicken,359.0,Garam masala,3.4
Paneer Tikka,259.0,Garam masala,4.7
Chilli Chicken,229.0,Garam masala,4.3
Paneer Hyderabadi,259.0,Garam masala,4.9
Chana Masala,229.0,Garam masala,4.9
Paneer Tikka Butter Masala,299.0,Garam masala,3.2
Veg Manchurian Dry,189.0,Garam masala,3.6
Chicken Mughlai with 2 Paratha,289.0,Rajdhani Fast Food,4.9
Chicken Kassa with 4 Roti,196.0,Rajdhani Fast Food,3.2
Chicken Fried Rice with Chicken Chilli,350.0,Rajdhani Fast Food,3.9
Chicken Fried Rice with Chicken Manchurian,299.0,Rajdhani Fast Food,4.8
Veg Biryani with Paneer Butter Masala,289.0,Rajdhani Fast Food,4.8
Veg Fried Rice with Paneer Chilli,299.0,Rajdhani Fast Food,3.4
Veg Biryani with Paneer Biryani,299.0,Rajdhani Fast Food,3.4
2 Veg Biryani,198.0,Rajdhani Fast Food,3.0
Veg Tadka with 4 Roti,120.0,Rajdhani Fast Food,4.5
Paneer Masala with 2 Paratha,130.0,Rajdhani Fast Food,4.7
2 Mushroom Masala Paratha,130.0,Rajdhani Fast Food,3.4
Paneer Butter Masala with Rice,192.0,Rajdhani Fast Food,3.9
Veg Biryani with Veg Manchurian,299.0,Rajdhani Fast Food,4.8
Paneer Tikka Biryani Combo,315.0,Rajdhani Fast Food,3.0
Veg Dahi Pakhala,119.0,Rajdhani Fast Food,4.0
Chicken Chilli with 2 Paratha,119.0,Rajdhani Fast Food,3.9
Butter Chicken with 2 Paratha,119.0,Rajdhani Fast Food,3.6
Chicken Kassa with 4 Roti,196.0,Rajdhani Fast Food,4.2
Chicken Masala with Egg Paratha,156.0,Rajdhani Fast Food,3.3
Chicken Biryani with Chicken Lollipop,350.0,Rajdhani Fast Food,4.7
Dahi Pakhala and Chicken Kassa,179.0,Rajdhani Fast Food,4.5
Non Veg Dahi Pakhala,90.0,Rajdhani Fast Food,3.9
Veg Matka Biryani,199.0,Rajdhani Fast Food,3.5
Paneer Tika Matka Biryani,269.0,Rajdhani Fast Food,3.3
Chicken Matka Biryani,279.0,Rajdhani Fast Food,4.5
Chicken Keema Matka Biryani,269.0,Rajdhani Fast Food,3.8
Lollipop Matka Biryani [2 Pieces],298.0,Rajdhani Fast Food,4.6
Bread Omelette,95.0,Rajdhani Fast Food,5.0
Egg Chicken Fried Rice,269.0,Rajdhani Fast Food,3.9
Chicken Roll,80.0,Rajdhani Fast Food,4.1
Double Egg Chicken Roll,99.0,Rajdhani Fast Food,3.4
Paneer Roll,80.0,Rajdhani Fast Food,4.3
Paneer Pakoda,159.0,Rajdhani Fast Food,3.5
Veg Fried Rice,155.0,Rajdhani Fast Food,3.7
Veg Thali,85.0,Rajdhani Fast Food,3.4
Paneer Thali,119.0,Rajdhani Fast Food,3.8
Egg Thali,99.0,Rajdhani Fast Food,4.4
Fish Thali,99.0,Rajdhani Fast Food,3.6
Chicken Thali,195.0,Rajdhani Fast Food,3.2
Mutton Thali,279.0,Rajdhani Fast Food,4.0
Veg Sweet Corn Soup,70.0,Rajdhani Fast Food,4.2
Tomato Soup,70.0,Rajdhani Fast Food,3.2
Chicken Sweet Corn Soup,75.0,Rajdhani Fast Food,3.0
Chicken Hot and Sour Soup,75.0,Rajdhani Fast Food,4.8
Boneless Chicken Noodles Soup,75.0,Rajdhani Fast Food,4.3
Gobhi Chilly,119.0,Rajdhani Fast Food,3.3
Paneer Tikka,198.0,Rajdhani Fast Food,3.8
Chilly Paneer,156.0,Rajdhani Fast Food,4.7
Paneer Manchurian,156.0,Rajdhani Fast Food,3.7
Chilly Mushroom,132.0,Rajdhani Fast Food,3.3
Chilly Egg,99.0,Rajdhani Fast Food,3.7
Chilly Chicken,150.0,Rajdhani Fast Food,4.9
Chicken Lollipop,198.0,Rajdhani Fast Food,3.1
Chilly Prawns,264.0,Rajdhani Fast Food,3.2
Chicken Hyderabadi Dum Biryani [1/2 kg],389.0,Biryani By Kilo,3.8
Chicken Lucknowi Dum Biryani [1/2 kg],389.0,Biryani By Kilo,4.8
Kolkata Chicken Biryani [Serve 1],399.0,Biryani By Kilo,3.7
Chicken 65 Biryani [1/2Kg] Serves 1-2,419.0,Biryani By Kilo,4.6
Kolkata Mutton Biryani [Serve 1],449.0,Biryani By Kilo,3.9
Mutton Lucknowi Dum Biryani [1/2 kg],449.0,Biryani By Kilo,4.4
Mutton Hyderabadi Dum Biryani [Serve 1],449.0,Biryani By Kilo,3.6
Chicken Boneless Dum Biryani [1/2 Kg] Serves 1-2,539.0,Biryani By Kilo,3.2
2x Chicken Hyderabadi Dum Biryani [1/2 Kg] +1x Phirni [100gm],1300.0,Biryani By Kilo,4.0
Veg Hyderabadi Dum Biryani [1/2 Kg] Serves 1-2,349.0,Biryani By Kilo,4.0
Paneer Dum Biryani [1/2 Kg] Serves 1-2,369.0,Biryani By Kilo,4.2
Kathal Dum Biryani [1/2 Kg] Serves 1-2,409.0,Biryani By Kilo,4.6
2 Veg Hyderabadi Dum Biryani [1/2 Kg] +1x Phirni [100gm],1269.0,Biryani By Kilo,3.8
Chicken Hyderabadi Dum Biryani -[1 Kg] Serves 2-3,629.0,Biryani By Kilo,3.0
Chicken Lucknowi Biryani -[1 Kg] Serves 2-3,629.0,Biryani By Kilo,3.2
Kolkata Chicken Biryani - [1Kg],779.0,Biryani By Kilo,3.5
Chicken 65 Biryani [1Kg],779.0,Biryani By Kilo,4.2
[1Kg] Mutton Hyderabadi Dum Biryani,829.0,Biryani By Kilo,3.5
[1Kg] Mutton Lucknowi Biryani,829.0,Biryani By Kilo,4.1
Veg Hyderabadi Dum Biryani - [1 Kg] Serves 2-3,619.0,Biryani By Kilo,3.6
[1Kg] Paneer Hyderabadi Dum Biryani,729.0,Biryani By Kilo,4.4
[1Kg] Kathal Hyderabadi Dum Biryani,749.0,Biryani By Kilo,3.5
Chicken Biryani Combo,848.0,Biryani By Kilo,4.1
Mutton Biryani Combo,888.0,Biryani By Kilo,3.2
Veg Biryani Combo,688.0,Biryani By Kilo,3.8
Paneer Biryani Combo,708.0,Biryani By Kilo,3.5
Egg Dum Biryani [1/2 Kg],349.0,Biryani By Kilo,4.5
Malamaal Chicken Dum Biryani [1/2 Kg] Serves 1-2,689.0,Biryani By Kilo,4.6
Soya Chaap Dum Biryani [1/2 Kg],369.0,Biryani By Kilo,3.7
Peshawari Chole Biryani [1/2 Kg] Serves 1-2,399.0,Biryani By Kilo,3.2
Goila Butter Chicken Biryani [1/2kg],469.0,Biryani By Kilo,5.0
Goila Butter Paneer Biryani [1/2kg],449.0,Biryani By Kilo,3.2
Tandoori Chicken Full [8 Pcs],699.0,Biryani By Kilo,3.1
Chicken Ghee Roast [250 Gms],429.0,Biryani By Kilo,3.1
Mutton Galouti Kebab [6 pcs],549.0,Biryani By Kilo,3.7
Mutton Seekh Kebab [250 gms],545.0,Biryani By Kilo,4.0
Chicken 65 [250 gms],419.0,Biryani By Kilo,3.3
Chicken Seekh Kebab [250 gms],389.0,Biryani By Kilo,3.1
Paneer 65 [250 gms],409.0,Biryani By Kilo,3.0
Veg Galouti Kebab [6 pcs],299.0,Biryani By Kilo,4.1
Crispy Corn stick [6 pcs],299.0,Biryani By Kilo,4.9
Veg Platter,649.0,Biryani By Kilo,3.2
Chicken Korma [Half],299.0,Biryani By Kilo,4.1
Dum Ka Keema Gosht,429.0,Biryani By Kilo,3.1
Chicken Korma [Full],499.0,Biryani By Kilo,4.5
Paneer Nawabi [Full],499.0,Biryani By Kilo,3.9
Dal Makhani [Half],289.0,Biryani By Kilo,4.8
Plain Rice,160.0,Biryani By Kilo,3.3
Jeera Rice,170.0,Biryani By Kilo,4.0
Chicken Seekh Roll,199.0,Biryani By Kilo,3.3
Chicken Tikka Roll,199.0,Biryani By Kilo,3.7
Paneer Tikka Roll,189.0,Biryani By Kilo,3.7
Ulte Tawa Ka Parantha,69.0,Biryani By Kilo,3.9
Rumali Roti,60.0,Biryani By Kilo,3.5
Arabian Special Shawarma Plate,369.0,Zam Zam Grills,3.1
Arabian Special Shawarma Roll,189.0,Zam Zam Grills,3.8
Arabian Spl Shawarma Salad,319.0,Zam Zam Grills,4.4
Executive Shawarma Plate,329.0,Zam Zam Grills,4.8
Executive Shawarma Roll,159.0,Zam Zam Grills,3.2
Executive Shawarma Salad,299.0,Zam Zam Grills,3.3
Extra Mayonnaise,79.0,Zam Zam Grills,4.2
Grilled Chicken,159.0,Zam Zam Grills,3.1
Mint Shawarma Roll,185.0,Zam Zam Grills,4.6
Mint Shawarma Salad,279.0,Zam Zam Grills,3.0
Rumali Roti,45.0,Zam Zam Grills,4.1
Shawarma Plate,339.0,Zam Zam Grills,3.9
Shawarma Plate [ Only Chicken ],389.0,Zam Zam Grills,3.9
Shawarma Roll,181.0,Zam Zam Grills,4.2
Shawarma Roll [only Chicken ],259.0,Zam Zam Grills,3.8
Shawarma Salad,279.0,Zam Zam Grills,4.2
Shawarma Salad ( Only Chicken ),289.0,Zam Zam Grills,4.7
Spicy Shawarma Plates,359.0,Zam Zam Grills,3.2
Spicy Shawarma Roll,185.0,Zam Zam Grills,4.3
Spicy Shawarma Salad,279.0,Zam Zam Grills,4.7
Photo Pull-Up Cake [500 gms],1449.0,Bakingo - Cakes & Desserts,3.5
Pull Me Up Pineapple Cake [500 gms],949.0,Bakingo - Cakes & Desserts,3.9
Hazelnut Chocolate Cream Cake [500 gms],549.0,Bakingo - Cakes & Desserts,3.9
Round Chocolate Truffle Cake [500 gms],499.0,Bakingo - Cakes & Desserts,3.5
Truffle Pinata Cake [700 gms],1099.0,Bakingo - Cakes & Desserts,3.9
Heart Shaped Chocolate Cake [500 gms],649.0,Bakingo - Cakes & Desserts,3.3
Designer Chocolate Pinata Cake [1 kg],1499.0,Bakingo - Cakes & Desserts,4.4
Black Forest Cake [500 gms],499.0,Bakingo - Cakes & Desserts,4.3
Chocolate Cream Cup Cake,199.0,Bakingo - Cakes & Desserts,3.6
Butterscotch Crunch Cup Cake,199.0,Bakingo - Cakes & Desserts,3.3
Vanilla Cup Cake,199.0,Bakingo - Cakes & Desserts,4.4
Red Velvet Jar Cake,199.0,Bakingo - Cakes & Desserts,4.7
Chocolate Walnut Brownie,99.0,Bakingo - Cakes & Desserts,3.4
Choco Truffle Pastry,99.0,Bakingo - Cakes & Desserts,3.9
Pineapple Pastry,89.0,Bakingo - Cakes & Desserts,4.8
Chocolate Fudge,149.0,Bakingo - Cakes & Desserts,3.8
Caramel Chocolate Cup,149.0,Bakingo - Cakes & Desserts,4.2
Choco Bar,79.0,Bakingo - Cakes & Desserts,4.9
Butterscotch Delight Jar Cake,199.0,Bakingo - Cakes & Desserts,3.5
Black Forest Jar Cake,199.0,Bakingo - Cakes & Desserts,3.5
Bakingo Special Red Velvet Cake [500 gms],499.0,Bakingo - Cakes & Desserts,3.3
Fresh Fruit Cake [500 gms],599.0,Bakingo - Cakes & Desserts,3.3
Coffee Walnut Cake [500 gms],599.0,Bakingo - Cakes & Desserts,3.6
Special Choco Truffle Cake [1 kg],999.0,Bakingo - Cakes & Desserts,4.0
Heart-Shaped Pinata Cake [1 kg],1299.0,Bakingo - Cakes & Desserts,3.3
Mango Delight Cake [500 gms],599.0,Bakingo - Cakes & Desserts,3.0
Choco Ferrero Cake [500 gms],699.0,Bakingo - Cakes & Desserts,3.7
Heart-Shaped Red Velvet Cake [500 gms],649.0,Bakingo - Cakes & Desserts,4.2
Designer Pink Rosette Cake [500 gms],599.0,Bakingo - Cakes & Desserts,4.9
Rainbow Cake [500 gms],599.0,Bakingo - Cakes & Desserts,4.8
Vanilla Fondant Cake [1 kg],1399.0,Bakingo - Cakes & Desserts,4.7
Chocolate Anniversary Cake [1 kg],1299.0,Bakingo - Cakes & Desserts,4.3
Classic Butter Cake [1 kg],799.0,Bakingo - Cakes & Desserts,4.9
Designer Theme Cake [2 kg],2499.0,Bakingo - Cakes & Desserts,4.0
Kit-Kat Chocolate Cake [500 gms],599.0,Bakingo - Cakes & Desserts,3.4
Special Anniversary Cake [1 kg],1299.0,Bakingo - Cakes & Desserts,3.1
Choco Hazelnut Fondant Cake [2 kg],2699.0,Bakingo - Cakes & Desserts,3.2
Photo Cupcake Set of 4,549.0,Bakingo - Cakes & Desserts,4.0
Red Velvet Pinata Cake [1 kg],1499.0,Bakingo - Cakes & Desserts,4.0
Special Fondant Cake [2 kg],2499.0,Bakingo - Cakes & Desserts,3.9
Choco Mint Pastry,89.0,Bakingo - Cakes & Desserts,4.0
Designer White Chocolate Cake [1 kg],1499.0,Bakingo - Cakes & Desserts,3.8
Tamatar Dhania Shorba,132.0,Kake Da Minar,4.5
Kukkad Dhania Da Shorba,156.0,Kake Da Minar,4.0
Mutton Paya Shorba,216.0,Kake Da Minar,4.4
Veg Hot And Sour Soup,144.0,Kake Da Minar,4.9
Veg Sweet Corn Soup,144.0,Kake Da Minar,4.2
Veg Manchow Soup,156.0,Kake Da Minar,3.1
Chicken Hot And Sour Soup,180.0,Kake Da Minar,4.2
Chicken Sweet Corn Soup,180.0,Kake Da Minar,4.2
Chicken Manchow Soup,192.0,Kake Da Minar,3.1
Paneer Achari Tikka,192.0,Kake Da Minar,4.2
Paneer Haryali Tikka,275.0,Kake Da Minar,4.7
Punjabi Paneer Tikka,186.0,Kake Da Minar,4.7
Paneer Malai Tikka [8 Pcs],396.0,Kake Da Minar,4.3
Paneer Dilwala Tikka [8 Pcs],396.0,Kake Da Minar,3.9
Shabnam Ke Moti [12 Pcs],384.0,Kake Da Minar,3.1
Stuffed Mushroom Tikka [12 Pcs],396.0,Kake Da Minar,3.3
Khumb Khajana [12 Pcs],396.0,Kake Da Minar,3.8
Murgh Achari Tikka,384.0,Kake Da Minar,3.3
Murgh Hariyali Kebab,384.0,Kake Da Minar,4.2
Murgh Reshmi Kebab,396.0,Kake Da Minar,3.2
Punjabi Kukkad Tikka,384.0,Kake Da Minar,4.2
Tandoori Murgh,384.0,Kake Da Minar,3.4
Bhati Da Lollipop [4 Pcs],354.0,Kake Da Minar,3.8
Murgh Tangdi Kebab [2 Pcs],324.0,Kake Da Minar,3.8
Bhati Da Murgh [8 Pcs],384.0,Kake Da Minar,4.3
Murgh Kali Mirch Tikka [8 Pcs],396.0,Kake Da Minar,3.5
Mahi Tikka [8 Pcs],420.0,Kake Da Minar,4.5
Murgh Malai Kebab [8 Pcs],414.0,Kake Da Minar,3.1
Fish Ajwaini Tikka [8 Pcs],432.0,Kake Da Minar,3.4
Kasundi Fish Tikka [8 Pcs],432.0,Kake Da Minar,4.4
Stuffed Tangdi Kebab [2 Pcs],396.0,Kake Da Minar,3.7
Murgh Nazakat [4 Pcs],480.0,Kake Da Minar,4.0
Tandoori Jheenga [6 Pcs],540.0,Kake Da Minar,4.5
Lassoni Dhania Prawn [6 Pcs],552.0,Kake Da Minar,4.3
Prawn Lucknowi [6 Pcs],552.0,Kake Da Minar,3.5
Tandoori Pomfret [1 Pc 250 Gm],720.0,Kake Da Minar,3.3
Dahi Ke Sholey [8 Pcs],288.0,Kake Da Minar,4.9
Veg And Paneer Momo Steamed [6 Pcs],156.0,Kake Da Minar,3.0
Crispy Chilli Corn,270.0,Kake Da Minar,4.9
Hara Bhara Kebab [6 Pcs],300.0,Kake Da Minar,3.9
Tangra Chilli Baby Corn,270.0,Kake Da Minar,4.1
Tangra Chilli Mushroom [8 Pcs],282.0,Kake Da Minar,3.9
Tangra Chilli Paneer [8 Pcs],282.0,Kake Da Minar,4.3
Chicken Momo Steamed [6 Pcs],168.0,Kake Da Minar,3.2
Tangra Chilli Chicken [8 Pcs],294.0,Kake Da Minar,3.6
Spicy Chicken Lollipop [8 Pcs],336.0,Kake Da Minar,3.3
Fish Finger [8 Pcs],456.0,Kake Da Minar,4.0
Tangra Chilli Fish [8 Pcs],492.0,Kake Da Minar,3.6
Tangra Chilli Prawn [8 Pcs],552.0,Kake Da Minar,4.7
Bali Prawn [4 Pcs],780.0,Kake Da Minar,4.7
Aloo Jeera,192.0,Kake Da Minar,3.8
Yellow Dal Butter Fry,192.0,Kake Da Minar,4.9
Yellow Dal Tadka,204.0,Kake Da Minar,4.4
Black Dal Tadka,216.0,Kake Da Minar,3.8
Aloo Matar,240.0,Kake Da Minar,3.1
Dum Aloo Punjabi,265.0,Kake Da Minar,3.0
Pindi Choley,265.0,Kake Da Minar,3.1
Dal Makhani,310.0,Kake Da Minar,3.5
Aloo Gobi Adraki,300.0,Kake Da Minar,4.7
Veg Hyderabadi,300.0,Kake Da Minar,4.8
Veg Patiala,300.0,Kake Da Minar,3.7
Dal Kake Da Minar,325.0,Kake Da Minar,4.3
Methi Malai Corn,325.0,Kake Da Minar,3.6
Malai Kofta,360.0,Kake Da Minar,4.7
Kadhai Mushroom,350.0,Kake Da Minar,3.2
Kadhai Paneer,360.0,Kake Da Minar,4.5
Mattar Paneer,360.0,Kake Da Minar,4.9
Mushroom Do Pyaza,350.0,Kake Da Minar,4.0
Mushroom Muttar Masala,350.0,Kake Da Minar,3.6
Paneer Bhujia,348.0,Kake Da Minar,3.1
Paneer Taka Tak,360.0,Kake Da Minar,4.8
Butter Paneer 1965,372.0,Kake Da Minar,3.6
Mushroom Butter Masala,378.0,Kake Da Minar,3.7
Palak Paneer,385.0,Kake Da Minar,3.8
Paneer Lababdar,385.0,Kake Da Minar,3.6
Sarson Ka Saag With Makki Di Roti,396.0,Kake Da Minar,4.0
Shahi Paneer,385.0,Kake Da Minar,3.6
Paneer Pasinda,444.0,Kake Da Minar,4.8
Egg Bhujia,162.0,Kake Da Minar,4.9
Egg Omlet,162.0,Kake Da Minar,3.2
Egg Masala,180.0,Kake Da Minar,4.6
Vegetable Patties,18.64,Mio Amore,4.6
Mushroom Puff,25.42,Mio Amore,3.8
Vegetable Cutlet,18.64,Mio Amore,4.8
Veg Burger,35.59,Mio Amore,4.3
Cheese Corn Sandwich,33.9,Mio Amore,3.1
Chilli Paneer Roll,32.2,Mio Amore,4.7
Mishtisukh,18.64,Mio Amore,4.0
Paneer Tikka Sandwich,46.61,Mio Amore,4.4
Rich Chocolate Doughnut,27.12,Mio Amore,4.2
Strawberry Doughnut,27.12,Mio Amore,4.3
Chicken Pizza,49.11,Mio Amore,4.6
Chicken Patties,28.57,Mio Amore,4.4
Tandoori Chicken Masala Sub,49.11,Mio Amore,3.2
Chicken Creamy Roll,28.57,Mio Amore,3.1
Chicken Finger,24.11,Mio Amore,4.6
Chicken Cutlet,44.64,Mio Amore,3.2
